butterfly;나비
paralysis;마비
driver;기사
harness;마구
maybe;아마
hippo;하마
ant;개미
ship;배
stomach;배
pear;배
bird;새
sun;해
crab;게
wash face;세수
swing;그네
camera;카메라
mountain;산
under;밑
clothes;옷
daytime;낯
flower;꽃
moon;달
water;물
bear;곰
3;삼
3;셋
three;삼
three;셋
house;집
forest;숩
ball;공
room;방
watermelon;수박
book;책
kitchen;부엌
money;돈
lemon;레몬
newspaper;신문
umbrella;우산
soon;곧
comb;빗
light;빛
hieut;히읗
strawberry;딸기
foot;발
pencil;연필
mom;엄마
computer;컴퓨터
rice;밥
meal;밥
mouth;입
knee;무릎
bag;가방
refrigerator;냉장고
window;창문
seesaw;시소
magazine;잡지
wallet;지갑
guitar;기타
thank you;고맙습니다
thank you;고마워요
thank you;고마워
thank you;감사합니다
stapler;스테이플러
stapler;호치키스
keyboard;키보드
sorry;미안합니다
sorry;미안해요
sorry;미안해
sorry;죄송합니다
glue;딱풀
poem;시
you;너
you;당신
chopsticks;젓가락
literature;문학
cat;고양이
duct tape;스카치테이프
floor;바닥
pencil case;필통
table;책상
eraser;지우개
notebook;공책
glasses;안경
clock;시계
cellphone;휴대폰
cellphone;핸드폰
sunglasses;선글라스
coin;동전
ruler;자
whiteboard;칠팍
dictionary;사전
electronic dictionary;전자사전
letter;글자
sound value;음가
writing order;획순
nosebleed;코피
blood;피
batchim;받침
front;앞
back;뒤
on;위
up;위
over;위
under;밑
side;옆
in;안
inside;안
Thailand;태국
Canada;캐나다
everyone;여러분
to listen;듣다
to speak;말하다
to look for;찾다
beer;맥주
mushrooms;버섯
club;클럽
Korean drama;한국 드라마
news;뉴스
then;그럼
so;그럼
sports center;스포츠 센터
and;그리고
and;하고
puppy;강아지
airport;공항
post office;우채국
embassy;대사관
bank;은행
store;가게
clothing store;옷가게
barter;이발소
pharmacy;약국
hospital;병원
hairdresser;미용실
here;여기
there;거기
there;저기
Insadong;인사동
Myeongdong;먕동
Nam mountain;남산
